9.9245,49.565,108.7,1.62
9.968,49.608,108.8,1.63
10.011,49.651,108.9,1.64
10.055,49.694,108.99,1.65
10.098,49.737,109.09,1.66
10.142,49.78,109.19,1.67
10.186,49.823,109.29,1.68
10.229,49.866,109.39,1.69
10.273,49.909,109.48,1.7
10.316,49.951,109.58,1.71
10.36,49.994,109.68,1.72
10.403,50.037,109.78,1.73
10.447,50.08,109.88,1.74
10.49,50.123,109.97,1.75
10.534,50.166,110.07,1.76
10.577,50.209,110.17,1.77
10.621,50.252,110.27,1.78
10.664,50.295,110.37,1.79
10.708,50.338,110.46,1.8
10.751,50.381,110.56,1.81
10.795,50.424,110.66,1.82
10.838,50.467,110.76,1.83
10.882,50.51,110.86,1.84
10.925,50.553,110.95,1.85
10.969,50.596,111.05,1.86
11.012,50.639,111.15,1.87
11.056,50.682,111.25,1.88
11.099,50.725,111.35,1.89
11.143,50.768,111.44,1.9
11.186,50.811,111.54,1.91
11.23,50.854,111.64,1.92
11.273,50.896,111.74,1.93
11.317,50.939,111.84,1.94
11.36,50.982,111.93,1.95
11.404,51.025,112.03,1.96
11.447,51.068,112.13,1.97
11.491,51.111,112.23,1.98
11.534,51.154,112.33,1.99
11.578,51.197,112.42,2
11.578,51.197,112.42,2
11.608,51.244,112.53,2.01
11.638,51.291,112.64,2.02
11.669,51.337,112.75,2.03
11.699,51.384,112.86,2.04
11.729,51.431,112.97,2.05
11.76,51.477,113.08,2.06
11.79,51.524,113.18,2.07
11.82,51.571,113.29,2.08
11.851,51.617,113.4,2.09
11.881,51.664,113.51,2.1
11.911,51.711,113.62,2.11
11.942,51.757,113.73,2.12
11.972,51.804,113.84,2.13
12.002,51.851,113.95,2.14
12.033,51.897,114.05,2.15
12.063,51.944,114.16,2.16
12.093,51.991,114.27,2.17
12.124,52.038,114.38,2.18
12.154,52.084,114.49,2.19
12.184,52.131,114.6,2.2
12.215,52.178,114.71,2.21
12.245,52.224,114.81,2.22
12.275,52.271,114.92,2.23
12.306,52.318,115.03,2.24
12.336,52.364,115.14,2.25
12.366,52.411,115.25,2.26
12.397,52.458,115.36,2.27
12.427,52.504,115.47,2.28
12.457,52.551,115.58,2.29
12.487,52.598,115.68,2.3
12.518,52.644,115.79,2.31
12.548,52.691,115.9,2.32
12.578,52.738,116.01,2.33
12.609,52.784,116.12,2.34
12.639,52.831,116.23,2.35
12.669,52.878,116.34,2.36
12.7,52.925,116.44,2.37
12.73,52.971,116.55,2.38
12.76,53.018,116.66,2.39
12.791,53.065,116.77,2.4
12.791,53.065,116.77,2.4
12.804,53.112,116.88,2.41
12.818,53.16,117,2.42
12.831,53.207,117.11,2.43
12.845,53.255,117.23,2.44
12.858,53.302,117.34,2.45
12.871,53.35,117.45,2.46
12.885,53.397,117.57,2.47
12.898,53.445,117.68,2.48
12.912,53.492,117.79,2.49
12.925,53.54,117.91,2.5
12.939,53.587,118.02,2.51
12.952,53.635,118.13,2.52
12.966,53.682,118.25,2.53
12.979,53.73,118.36,2.54
12.993,53.777,118.48,2.55
13.006,53.825,118.59,2.56
13.02,53.872,118.7,2.57
13.033,53.92,118.82,2.58
13.046,53.967,118.93,2.59
13.06,54.015,119.04,2.6
13.073,54.062,119.16,2.61
13.087,54.11,119.27,2.62
13.1,54.157,119.38,2.63
13.114,54.205,119.5,2.64
13.127,54.252,119.61,2.65
13.141,54.3,119.73,2.66
13.154,54.347,119.84,2.67
13.168,54.395,119.95,2.68
13.181,54.442,120.07,2.69
13.195,54.49,120.18,2.7
13.208,54.537,120.29,2.71
13.221,54.585,120.41,2.72
13.235,54.632,120.52,2.73
13.248,54.68,120.63,2.74
13.262,54.727,120.75,2.75
13.275,54.775,120.86,2.76
13.289,54.822,120.98,2.77
13.302,54.87,121.09,2.78
13.316,54.917,121.2,2.79
13.329,54.965,121.32,2.8
13.329,54.965,121.32,2.8
13.322,55.01,121.43,2.81
13.315,55.056,121.54,2.82
13.307,55.101,121.65,2.83
13.3,55.146,121.77,2.84
13.293,55.191,121.88,2.85
13.285,55.237,121.99,2.86
13.278,55.282,122.1,2.87
13.271,55.327,122.21,2.88
13.264,55.372,122.33,2.89
13.256,55.418,122.44,2.9
13.249,55.463,122.55,2.91
13.242,55.508,122.66,2.92
13.234,55.554,122.78,2.93
13.227,55.599,122.89,2.94
13.22,55.644,123,2.95
13.212,55.689,123.11,2.96
13.205,55.735,123.22,2.97
13.198,55.78,123.34,2.98
13.191,55.825,123.45,2.99
13.183,55.871,123.56,3
13.176,55.916,123.67,3.01
13.169,55.961,123.78,3.02
13.161,56.006,123.9,3.03
13.154,56.052,124.01,3.04
13.147,56.097,124.12,3.05
13.14,56.142,124.23,3.06
13.132,56.187,124.35,3.07
13.125,56.233,124.46,3.08
13.118,56.278,124.57,3.09
13.11,56.323,124.68,3.1
13.103,56.369,124.79,3.11
13.096,56.414,124.91,3.12
13.089,56.459,125.02,3.13
13.081,56.504,125.13,3.14
13.074,56.55,125.24,3.15
13.067,56.595,125.36,3.16
13.059,56.64,125.47,3.17
13.052,56.686,125.58,3.18
13.045,56.731,125.69,3.19
13.038,56.776,125.8,3.2
13.038,56.776,125.8,3.2
13.006,56.816,125.91,3.21
12.974,56.856,126.01,3.22
12.943,56.896,126.12,3.23
12.911,56.936,126.22,3.24
12.88,56.976,126.32,3.25
12.848,57.016,126.43,3.26
12.817,57.056,126.53,3.27
12.785,57.096,126.63,3.28
12.754,57.136,126.74,3.29
12.722,57.176,126.84,3.3
12.691,57.216,126.95,3.31
12.659,57.256,127.05,3.32
12.628,57.296,127.15,3.33
